id,formula,elements,n_elements,a,b,c,alpha,beta,gamma,volume,spacegroup,element_1,element_2,element_3,element_4,element_5,fraction_1,fraction_2,fraction_3,fraction_4,fraction_5
53,O-H-I,"O,H,I",3,4.6847,5.6329,8.7812,90.84,90.28,99.38,231.72,130,O,H,I,,,0.4987,0.271,0.203,0.0171,0.0103
54,O-H-H,"O,H,H",3,5.0681,4.9745,5.57,93.12,92.36,103.92,140.43,9,O,H,H,,,0.5084,0.3558,0.1238,0.0078,0.0041
55,H-Cs-O,"H,Cs,O",3,4.0602,5.0782,7.8146,88.84,88.55,96.49,161.12,25,H,Cs,O,,,0.5207,0.3364,0.1294,0.0088,0.0047
56,H-O-O,"H,O,O",3,4.0566,4.8685,7.2277,88.79,88.55,99.01,142.74,2,H,O,O,,,0.5168,0.3716,0.1031,0.0062,0.0023
57,Ba-Cs-H,"Ba,Cs,H",3,4.668,5.094,6.567,94.35,92.99,106.58,156.15,1,Ba,Cs,H,,,0.5308,0.3444,0.113,0.0095,0.0022
58,O-H-H,"O,H,H",3,4.5759,4.999,6.5396,92.65,91.39,100.95,149.59,3,O,H,H,,,0.4741,0.3385,0.1676,0.0135,0.0063
59,O-O-O,"O,O,O",3,4.2535,5.233,8.1638,88.85,88.55,96.61,181.71,105,O,O,O,,,0.4738,0.3264,0.1753,0.0141,0.0105
60,O-I-Ti-H,"O,I,Ti,H",4,5.5131,6.6678,10.7494,92.64,92.07,97.22,395.15,186,O,I,Ti,H,,0.5777,0.2123,0.1787,0.0209,0.0104
61,Ga-Cs-H,"Ga,Cs,H",3,4.2566,4.9462,7.1079,90.13,89.78,101.56,149.65,1,Ga,Cs,H,,,0.54,0.3457,0.1035,0.0083,0.0025
62,H-Ba-O,"H,Ba,O",3,4.1427,5.1707,7.9444,88.89,88.79,98.17,170.17,2,H,Ba,O,,,0.5706,0.323,0.0986,0.0061,0.0016
63,N-Cs-H,"N,Cs,H",3,4.0186,4.7758,6.7861,90.17,89.57,99.35,130.24,1,N,Cs,H,,,0.5865,0.3024,0.1028,0.0066,0.0016
64,O-I-Ti-H,"O,I,Ti,H",4,5.3567,6.4895,10.3809,92.47,91.84,97.25,360.86,186,O,I,Ti,H,,0.5596,0.2182,0.1873,0.0228,0.012
65,Ga-Cs-H,"Ga,Cs,H",3,4.4137,4.9412,6.6626,92.97,91.93,105.62,145.31,1,Ga,Cs,H,,,0.5395,0.3466,0.1037,0.0081,0.0021
66,O-I-I-H,"O,I,I,H",4,5.2273,6.3624,10.2145,92.12,91.54,97.42,339.72,185,O,I,I,H,,0.5402,0.2236,0.2011,0.0223,0.0127
67,O-Ba-I,"O,Ba,I",3,4.6103,5.6047,8.8047,90.55,90.09,98.44,227.51,179,O,Ba,I,,,0.4997,0.2651,0.2065,0.0165,0.0123
68,O-I-I-H,"O,I,I,H",4,5.212,6.4328,10.5826,91.72,91.28,97.27,354.81,180,O,I,I,H,,0.5413,0.2248,0.1979,0.0235,0.0125
69,O-Ba-I,"O,Ba,I",3,4.4503,5.537,8.8258,89.77,89.43,96.86,217.48,173,O,Ba,I,,,0.4844,0.2956,0.1887,0.0174,0.0139
70,O-I-Ti-H,"O,I,Ti,H",4,5.9126,7.1476,11.5862,93.58,92.85,96.35,489.64,155,O,I,Ti,H,,0.6456,0.1889,0.1257,0.03,0.0098
71,N-Cs-O,"N,Cs,O",3,4.1182,5.0099,7.3215,89.66,89.27,97.92,151.06,1,N,Cs,O,,,0.5859,0.2968,0.1073,0.0081,0.0019
72,O-Sc-I,"O,Sc,I",3,5.2863,6.3576,10.1093,92.36,91.8,98.34,339.75,188,O,Sc,I,,,0.55,0.2259,0.1958,0.0176,0.0107
73,N-Cs-O,"N,Cs,O",3,4.8126,5.2333,6.5636,95.52,93.91,107.39,165.31,1,N,Cs,O,,,0.5443,0.316,0.1246,0.0127,0.0025
74,N-Cs-O,"N,Cs,O",3,4.7192,5.1311,6.4264,95.32,93.69,107.09,155.61,1,N,Cs,O,,,0.5525,0.3173,0.1185,0.0099,0.0019
75,H-Cs-O,"H,Cs,O",3,4.088,5.1069,7.7729,88.87,88.69,97.25,162.28,2,H,Cs,O,,,0.576,0.3166,0.0994,0.0064,0.0017
76,O-Sc-I,"O,Sc,I",3,4.9607,5.9534,9.2648,91.84,91.21,98.64,273.62,183,O,Sc,I,,,0.5174,0.2381,0.2127,0.0193,0.0125
77,O-I-Ti-H,"O,I,Ti,H",4,5.613,6.8231,11.0926,92.91,92.34,97.3,424.82,181,O,I,Ti,H,,0.5996,0.2063,0.1609,0.0232,0.01
78,H-O-O,"H,O,O",3,4.1214,4.7344,6.6098,90.86,90.01,101.49,128.97,2,H,O,O,,,0.4758,0.3993,0.1144,0.0074,0.0031
79,N-Cs-O,"N,Cs,O",3,4.1678,5.307,8.2305,88.76,88.68,96.15,182.04,1,N,Cs,O,,,0.5919,0.2966,0.1009,0.0085,0.0021
80,O-Sc-Ti-H,"O,Sc,Ti,H",4,5.4537,6.6565,10.8386,92.69,92.13,97.85,393.47,178,O,Sc,Ti,H,,0.5777,0.2151,0.1755,0.0216,0.0101
81,O-H-Ga,"O,H,Ga",3,5.2283,6.6649,11.6487,91.87,91.76,100.63,405.91,139,O,H,Ga,,,0.5949,0.2527,0.1388,0.0095,0.0042
82,N-Ba-H,"N,Ba,H",3,4.1254,4.9868,7.3409,89.52,89.26,99.47,151.02,1,N,Ba,H,,,0.5812,0.3097,0.1009,0.0066,0.0015
83,O-Sc-Ga,"O,Sc,Ga",3,6.8857,6.8728,5.4739,93.78,93.15,112.95,259.05,11,O,Sc,Ga,,,0.5769,0.2652,0.1444,0.0103,0.0033
84,O-I-Ti-H,"O,I,Ti,H",4,5.378,6.5216,10.4506,92.54,91.93,97.47,366.53,185,O,I,Ti,H,,0.5612,0.217,0.1875,0.0227,0.0117
85,H-Ba-O,"H,Ba,O",3,4.08,5.1405,7.948,88.46,88.35,96.52,166.69,5,H,Ba,O,,,0.5503,0.3341,0.1058,0.0074,0.0024
86,O-Sc-Ti-H,"O,Sc,Ti,H",4,5.4262,6.6028,10.6607,92.79,92.19,98.11,381.95,178,O,Sc,Ti,H,,0.5734,0.2164,0.1785,0.0215,0.0102
87,H-Cs-H,"H,Cs,H",3,3.9853,4.7516,6.8206,89.68,89.17,99.1,129.16,1,H,Cs,H,,,0.5739,0.3227,0.0965,0.0056,0.0014
88,O-H-H,"O,H,H",3,4.3824,5.0558,7.443,89.67,89.09,98.91,164.91,61,O,H,H,,,0.4729,0.3342,0.1704,0.0136,0.0088
89,O-I-I-H,"O,I,I,H",4,4.9739,6.0231,9.4912,91.79,91.17,98.01,284.34,186,O,I,I,H,,0.5157,0.2392,0.2104,0.0208,0.0139
90,N-Ge-O,"N,Ge,O",3,4.3126,5.0503,7.0418,91.94,91.11,102.26,153.37,1,N,Ge,O,,,0.5736,0.3239,0.0966,0.0049,0.001
91,O-Sc-I,"O,Sc,I",3,5.2888,6.3643,10.1119,92.36,91.78,98.22,340.37,187,O,Sc,I,,,0.5494,0.2251,0.1972,0.0178,0.0105
92,O-Sc-I,"O,Sc,I",3,4.9653,5.9477,9.2629,91.91,91.29,99.24,273.55,184,O,Sc,I,,,0.5191,0.2381,0.2126,0.0183,0.0119
93,O-Sc-I,"O,Sc,I",3,5.1343,6.1709,9.727,92.25,91.67,99.26,308.18,185,O,Sc,I,,,0.5328,0.2296,0.2088,0.0177,0.0111
94,H-Cs-O,"H,Cs,O",3,3.9586,4.8057,7.0335,89.38,88.89,97.94,133.8,3,H,Cs,O,,,0.561,0.3293,0.1022,0.0056,0.0019
95,O-Sc-Ti,"O,Sc,Ti",3,5.3434,6.4404,10.2313,92.6,91.97,97.93,352.1,186,O,Sc,Ti,,,0.5559,0.2197,0.1939,0.0198,0.0108
96,Ga-Cs-H,"Ga,Cs,H",3,4.2384,4.9146,7.0088,90.32,89.89,101.5,145.99,1,Ga,Cs,H,,,0.5441,0.3415,0.1039,0.0082,0.0024
97,O-H-H,"O,H,H",3,4.533,5.1982,7.5811,90.97,90.12,99.9,178.64,79,O,H,H,,,0.4949,0.3169,0.1677,0.0131,0.0073
98,O-I-Ti-H,"O,I,Ti,H",4,5.5545,6.7403,10.9175,92.78,92.22,97.47,408.74,184,O,I,Ti,H,,0.5855,0.2096,0.1732,0.0215,0.0102
99,O-Sc-I-H,"O,Sc,I,H",4,5.1062,6.1397,9.5999,92.29,91.61,98.37,300.96,184,O,Sc,I,H,,0.5282,0.2292,0.2093,0.0208,0.0124
100,H-Ge-O,"H,Ge,O",3,4.5215,4.8907,5.8953,95.43,93.54,105.65,130.36,1,H,Ge,O,,,0.5473,0.3249,0.1172,0.0088,0.0018
101,O-H-H,"O,H,H",3,4.5122,4.862,6.6007,90.8,90.04,99.82,144.81,61,O,H,H,,,0.504,0.3439,0.1393,0.0084,0.0043
102,N-N-H,"N,N,H",3,4.5427,5.1593,7.5691,88.87,88.97,101.4,177.4,4,N,N,H,,,0.5013,0.4059,0.0844,0.0057,0.0026
103,H-O-O,"H,O,O",3,3.9666,4.7731,6.9531,89.15,88.7,98.02,131.64,2,H,O,O,,,0.5512,0.3424,0.0992,0.0055,0.0017
104,N-N-O,"N,N,O",3,4.415,4.7117,5.807,90.58,89.72,96.37,120.8,1,N,N,O,,,0.4773,0.3806,0.1317,0.0083,0.0022
105,H-Cs-O,"H,Cs,O",3,3.9696,4.8233,7.0937,89.09,88.67,97.66,135.82,2,H,Cs,O,,,0.5481,0.3388,0.1049,0.0062,0.002
106,Ga-Cs-H,"Ga,Cs,H",3,4.2667,4.8499,6.6771,91.75,90.93,103.46,138.17,1,Ga,Cs,H,,,0.5478,0.333,0.1078,0.0088,0.0024
107,N-Cs-O,"N,Cs,O",3,4.0898,4.9693,7.2495,89.62,89.23,98.02,147.33,1,N,Cs,O,,,0.5892,0.2969,0.1047,0.0075,0.0018
108,O-Ba-I,"O,Ba,I",3,4.6165,5.6316,8.8857,90.52,90.08,98.24,231.01,179,O,Ba,I,,,0.4954,0.2665,0.2074,0.0174,0.0132
109,O-I-Ti-H,"O,I,Ti,H",4,5.8547,7.1013,11.574,93.33,92.63,96.15,481.2,162,O,I,Ti,H,,0.6447,0.1885,0.1261,0.0309,0.0098
110,O-H-H,"O,H,H",3,4.4117,5.1591,7.739,89.28,88.83,98.15,176.14,85,O,H,H,,,0.4695,0.3312,0.175,0.0147,0.0096
111,O-H-H,"O,H,H",3,4.7206,4.8374,6.0104,92.69,91.66,103.43,137.25,11,O,H,H,,,0.5017,0.3687,0.118,0.0075,0.0042
112,Ga-Ga-H,"Ga,Ga,H",3,4.5134,5.4683,8.5658,87.44,87.96,97.23,211.41,1,Ga,Ga,H,,,0.4795,0.4106,0.0988,0.008,0.0031
113,O-Si-H,"O,Si,H",3,7.4584,6.991,5.3496,88.43,91.61,105.88,278.94,13,O,Si,H,,,0.5906,0.2925,0.1089,0.006,0.0019
114,O-O-O,"O,O,O",3,4.3334,5.3642,8.4264,89.42,89.07,96.71,195.87,152,O,O,O,,,0.4824,0.307,0.1823,0.016,0.0123
115,N-Cs-H,"N,Cs,H",3,4.1591,5.0877,7.6005,89.28,89.09,98.56,160.83,1,N,Cs,H,,,0.5855,0.3031,0.1027,0.007,0.0017
116,H-O-O,"H,O,O",3,4.085,4.8006,7.0078,88.81,88.38,98.24,137.42,3,H,O,O,,,0.4559,0.4024,0.1279,0.0091,0.0047
117,N-Cs-H,"N,Cs,H",3,4.2054,5.002,7.3408,89.58,89.36,100.21,154.42,1,N,Cs,H,,,0.5529,0.3309,0.1059,0.008,0.0023
118,O-Sc-I,"O,Sc,I",3,5.0232,6.0189,9.3477,92.2,91.52,98.97,282.62,183,O,Sc,I,,,0.5205,0.2341,0.2129,0.02,0.0125
119,O-O-Br,"O,O,Br",3,4.3628,5.2578,8.1047,88.96,88.6,96.76,185.91,89,O,O,Br,,,0.471,0.3108,0.1912,0.0159,0.0112
120,O-H-H,"O,H,H",3,4.7861,4.8439,5.885,92.68,91.74,102.89,136.43,11,O,H,H,,,0.5076,0.355,0.1255,0.0078,0.0041
121,N-Cs-H,"N,Cs,H",3,4.5419,4.9553,6.3756,94.13,92.75,106.43,143.49,1,N,Cs,H,,,0.541,0.3353,0.1123,0.0093,0.0021
122,N-Ge-H,"N,Ge,H",3,4.2855,5.247,8.0968,88.6,88.75,99.33,182.06,1,N,Ge,H,,,0.5564,0.33,0.1054,0.0064,0.0018
123,N-Ba-H,"N,Ba,H",3,4.2186,5.0241,7.4796,88.98,88.94,100.18,158.53,1,N,Ba,H,,,0.5399,0.3475,0.1038,0.0067,0.0021
124,O-H-H,"O,H,H",3,4.3963,5.2582,8.0928,89.11,88.76,97.77,187.08,101,O,H,H,,,0.4653,0.3241,0.1844,0.0156,0.0106
125,O-H-H,"O,H,H",3,4.4179,4.7916,6.5325,91.02,90.19,101.47,138.29,14,O,H,H,,,0.4984,0.3718,0.1185,0.0073,0.004
126,H-O-O,"H,O,O",3,4.412,5.6533,9.3662,88.27,88.27,94.82,233.62,130,H,O,O,,,0.4508,0.3492,0.1634,0.0198,0.0168
127,H-O-O,"H,O,O",3,4.2061,4.7741,6.6028,91.04,90.19,101.44,132.59,3,H,O,O,,,0.4559,0.4175,0.1152,0.0076,0.0039
128,N-Cs-H,"N,Cs,H",3,4.2726,4.8353,6.5964,92.12,91.2,104.0,136.28,1,N,Cs,H,,,0.5504,0.3366,0.1032,0.0078,0.002
129,O-I-Ti-H,"O,I,Ti,H",4,5.4463,6.6025,10.6047,92.64,92.04,97.38,381.34,185,O,I,Ti,H,,0.5713,0.2138,0.1813,0.0225,0.0111
130,N-Cs-O,"N,Cs,O",3,4.7489,5.1319,6.3049,95.64,93.9,106.95,153.66,1,N,Cs,O,,,0.558,0.3101,0.1198,0.0102,0.0019
131,N-Cs-H,"N,Cs,H",3,4.0339,4.896,7.1494,89.74,89.3,98.78,141.2,1,N,Cs,H,,,0.5912,0.3028,0.0987,0.0059,0.0014
132,O-H-Ga-H,"O,H,Ga,H",4,4.9064,5.8824,9.0933,92.58,91.72,100.99,262.44,115,O,H,Ga,H,,0.5191,0.2641,0.1844,0.0221,0.0103
133,H-O-O,"H,O,O",3,4.7134,5.0204,5.8573,96.14,94.04,106.64,138.6,1,H,O,O,,,0.4664,0.3871,0.133,0.0102,0.0033
134,O-O-Br,"O,O,Br",3,4.3764,5.3606,8.3381,89.47,89.07,96.51,195.61,149,O,O,Br,,,0.4723,0.2987,0.1958,0.0185,0.0147
135,Ba-Cs-H,"Ba,Cs,H",3,4.4696,4.945,6.5539,93.28,92.14,105.63,144.86,1,Ba,Cs,H,,,0.5396,0.3285,0.1173,0.0116,0.003
136,N-Cs-O,"N,Cs,O",3,3.9511,4.7438,6.8234,89.7,89.16,98.61,127.89,1,N,Cs,O,,,0.5845,0.3118,0.0971,0.0052,0.0014
137,O-I-Ti-H,"O,I,Ti,H",4,5.566,6.7616,10.9715,92.76,92.21,97.32,412.91,184,O,I,Ti,H,,0.5887,0.2084,0.1699,0.0226,0.0105
138,N-Ge-O,"N,Ge,O",3,4.7243,5.3151,6.7864,95.36,93.87,105.21,170.41,1,N,Ge,O,,,0.5812,0.2882,0.1184,0.0105,0.0016
139,N-Cs-H,"N,Cs,H",3,4.0797,4.7848,6.7606,90.44,89.83,100.61,131.97,1,N,Cs,H,,,0.5726,0.3258,0.0947,0.0055,0.0014
140,O-Ba-I-H,"O,Ba,I,H",4,4.7525,5.8126,9.2063,91.04,90.51,97.71,254.32,184,O,Ba,I,H,,0.4962,0.258,0.2097,0.0205,0.0155
141,O-I-I,"O,I,I",3,4.6968,5.6647,8.8558,90.89,90.38,98.91,235.62,181,O,I,I,,,0.5071,0.2574,0.2069,0.0167,0.012
142,H-O-O,"H,O,O",3,4.4102,4.7916,5.9047,94.61,92.84,104.63,124.78,2,H,O,O,,,0.4975,0.3725,0.1186,0.0087,0.0026
143,N-Cs-H,"N,Cs,H",3,4.3635,4.8104,6.2566,93.83,92.42,106.3,131.33,1,N,Cs,H,,,0.5533,0.3391,0.0997,0.0063,0.0015
144,O-I-I-H,"O,I,I,H",4,5.0803,6.1259,9.6097,92.16,91.5,98.18,299.07,184,O,I,I,H,,0.5247,0.2311,0.2103,0.021,0.0129
145,O-H-H,"O,H,H",3,4.8193,4.9126,5.6957,92.85,91.83,99.89,134.85,2,O,H,H,,,0.5073,0.3225,0.1571,0.009,0.0041
146,O-Si-H,"O,Si,H",3,4.8356,4.776,5.904,91.03,90.84,102.23,136.35,31,O,Si,H,,,0.5333,0.3587,0.0994,0.0058,0.0028
147,Ba-Cs-H,"Ba,Cs,H",3,4.76,5.14,6.4877,95.05,93.5,107.62,158.73,1,Ba,Cs,H,,,0.5345,0.3367,0.1162,0.0103,0.0023
148,O-H-H,"O,H,H",3,6.183,6.1889,5.3647,94.91,92.97,116.28,205.29,8,O,H,H,,,0.5703,0.3161,0.106,0.0055,0.002
149,O-Sc-Ti,"O,Sc,Ti",3,5.4538,6.6026,10.6276,92.61,92.05,97.65,382.7,185,O,Sc,Ti,,,0.5687,0.2153,0.1862,0.0197,0.0102
150,N-Cs-H,"N,Cs,H",3,4.0645,4.8896,7.0564,89.92,89.43,98.75,140.24,1,N,Cs,H,,,0.5863,0.2992,0.1056,0.0072,0.0017
151,O-H-O,"O,H,O",3,4.1942,4.9197,7.3063,88.17,87.83,96.54,150.76,9,O,H,O,,,0.4498,0.3688,0.1605,0.0129,0.008
152,O-H-H,"O,H,H",3,5.4138,5.2765,5.4257,93.6,92.97,104.41,154.99,7,O,H,H,,,0.524,0.3261,0.138,0.0081,0.0038
153,O-O-O-H-H,"O,O,O,H,H",5,4.5752,5.7399,9.2906,89.61,89.3,95.42,243.98,175,O,O,O,H,H,0.4635,0.3057,0.1839,0.0245,0.0224
154,O-H-H,"O,H,H",3,5.9308,5.8558,5.4381,94.82,93.79,108.11,188.86,8,O,H,H,,,0.5487,0.2919,0.1466,0.0093,0.0035
155,O-H-H,"O,H,H",3,6.2125,6.03,5.7035,93.79,93.27,109.75,213.66,12,O,H,H,,,0.5506,0.3618,0.0815,0.0043,0.0018
156,N-Ba-H,"N,Ba,H",3,4.2088,4.7713,6.433,92.29,91.27,103.54,129.18,1,N,Ba,H,,,0.5627,0.3285,0.1011,0.0062,0.0014
157,Ba-Cs-H,"Ba,Cs,H",3,4.7769,5.1868,6.5881,95.09,93.58,107.59,163.23,1,Ba,Cs,H,,,0.5342,0.3324,0.1195,0.0115,0.0025
158,N-Ba-H,"N,Ba,H",3,4.0966,4.962,7.3249,89.47,89.18,99.43,148.9,1,N,Ba,H,,,0.5753,0.3225,0.0954,0.0055,0.0014
