id,formula,elements,n_elements,a,b,c,alpha,beta,gamma,volume,spacegroup,element_1,element_2,element_3,element_4,element_5,fraction_1,fraction_2,fraction_3,fraction_4,fraction_5,validity_level,score,is_valid,chemistry_score,lattice_score,ferroelectric_score,issues,warnings
40,O-Sc-I,"O,Sc,I",3,4.8636,5.8586,9.1741,91.48,90.91,98.82,261.41,185,O,Sc,I,,,0.5153,0.2435,0.2113,0.0177,0.0121,EXCELLENT,83.0,True,90.0,100.0,80.0,,Possible charge imbalance; Only one typical ferroelectric element; No d0 transition metal (common in oxide ferroelectrics)
43,N-Cs-O,"N,Cs,O",3,4.0502,5.0631,7.6422,89.06,88.77,96.7,156.71,2,N,Cs,O,,,0.582,0.3062,0.103,0.0068,0.002,GOOD,70.0,True,70.0,100.0,60.0,Severe charge imbalance,Only one typical ferroelectric element; No d0 transition metal (common in oxide ferroelectrics); Spacegroup 2 not typical for ferroelectrics; Low oxygen content for oxide
45,N-Cs-O,"N,Cs,O",3,4.1002,5.0638,7.5246,89.39,89.07,97.38,156.23,1,N,Cs,O,,,0.5902,0.2958,0.1046,0.0076,0.0019,GOOD,73.0,True,70.0,100.0,70.0,Severe charge imbalance,Only one typical ferroelectric element; No d0 transition metal (common in oxide ferroelectrics); Low oxygen content for oxide
51,O-Sc-I-H,"O,Sc,I,H",4,5.1293,6.2265,9.9129,92.03,91.46,98.19,316.6,183,O,Sc,I,H,,0.5286,0.2281,0.21,0.021,0.0123,EXCELLENT,83.0,True,90.0,100.0,80.0,,Possible charge imbalance; Only one typical ferroelectric element; No d0 transition metal (common in oxide ferroelectrics)
52,O-Sc-Ti,"O,Sc,Ti",3,5.4628,6.5916,10.566,92.65,92.07,97.62,380.47,186,O,Sc,Ti,,,0.5693,0.2157,0.1849,0.0197,0.0104,EXCELLENT,92.5,True,100.0,100.0,100.0,,
55,H-Cs-O,"H,Cs,O",3,4.0602,5.0782,7.8146,88.84,88.55,96.49,161.12,25,H,Cs,O,,,0.5207,0.3364,0.1294,0.0088,0.0047,GOOD,69.5,True,60.0,100.0,70.0,Severe charge imbalance,High hydrogen content unusual for ferroelectrics; Only one typical ferroelectric element; No d0 transition metal (common in oxide ferroelectrics); Low oxygen content for oxide
60,O-I-Ti-H,"O,I,Ti,H",4,5.5131,6.6678,10.7494,92.64,92.07,97.22,395.15,186,O,I,Ti,H,,0.5777,0.2123,0.1787,0.0209,0.0104,EXCELLENT,89.0,True,90.0,100.0,100.0,,Possible charge imbalance
62,H-Ba-O,"H,Ba,O",3,4.1427,5.1707,7.9444,88.89,88.79,98.17,170.17,2,H,Ba,O,,,0.5706,0.323,0.0986,0.0061,0.0016,GOOD,69.5,True,60.0,100.0,70.0,Severe charge imbalance,High hydrogen content unusual for ferroelectrics; No d0 transition metal (common in oxide ferroelectrics); Spacegroup 2 not typical for ferroelectrics; Low oxygen content for oxide
64,O-I-Ti-H,"O,I,Ti,H",4,5.3567,6.4895,10.3809,92.47,91.84,97.25,360.86,186,O,I,Ti,H,,0.5596,0.2182,0.1873,0.0228,0.012,EXCELLENT,89.0,True,90.0,100.0,100.0,,Possible charge imbalance
67,O-Ba-I,"O,Ba,I",3,4.6103,5.6047,8.8047,90.55,90.09,98.44,227.51,179,O,Ba,I,,,0.4997,0.2651,0.2065,0.0165,0.0123,EXCELLENT,83.0,True,90.0,100.0,80.0,,Possible charge imbalance; No d0 transition metal (common in oxide ferroelectrics); Spacegroup 179 not typical for ferroelectrics
69,O-Ba-I,"O,Ba,I",3,4.4503,5.537,8.8258,89.77,89.43,96.86,217.48,173,O,Ba,I,,,0.4844,0.2956,0.1887,0.0174,0.0139,EXCELLENT,86.0,True,90.0,100.0,90.0,,Possible charge imbalance; No d0 transition metal (common in oxide ferroelectrics)
70,O-I-Ti-H,"O,I,Ti,H",4,5.9126,7.1476,11.5862,93.58,92.85,96.35,489.64,155,O,I,Ti,H,,0.6456,0.1889,0.1257,0.03,0.0098,EXCELLENT,86.0,True,90.0,100.0,90.0,,Possible charge imbalance; Spacegroup 155 not typical for ferroelectrics
71,N-Cs-O,"N,Cs,O",3,4.1182,5.0099,7.3215,89.66,89.27,97.92,151.06,1,N,Cs,O,,,0.5859,0.2968,0.1073,0.0081,0.0019,GOOD,73.0,True,70.0,100.0,70.0,Severe charge imbalance,Only one typical ferroelectric element; No d0 transition metal (common in oxide ferroelectrics); Low oxygen content for oxide
72,O-Sc-I,"O,Sc,I",3,5.2863,6.3576,10.1093,92.36,91.8,98.34,339.75,188,O,Sc,I,,,0.55,0.2259,0.1958,0.0176,0.0107,EXCELLENT,80.0,True,90.0,100.0,70.0,,Possible charge imbalance; Only one typical ferroelectric element; No d0 transition metal (common in oxide ferroelectrics); Spacegroup 188 not typical for ferroelectrics
73,N-Cs-O,"N,Cs,O",3,4.8126,5.2333,6.5636,95.52,93.91,107.39,165.31,1,N,Cs,O,,,0.5443,0.316,0.1246,0.0127,0.0025,GOOD,73.0,True,70.0,100.0,70.0,Severe charge imbalance,Only one typical ferroelectric element; No d0 transition metal (common in oxide ferroelectrics); Low oxygen content for oxide
74,N-Cs-O,"N,Cs,O",3,4.7192,5.1311,6.4264,95.32,93.69,107.09,155.61,1,N,Cs,O,,,0.5525,0.3173,0.1185,0.0099,0.0019,GOOD,73.0,True,70.0,100.0,70.0,Severe charge imbalance,Only one typical ferroelectric element; No d0 transition metal (common in oxide ferroelectrics); Low oxygen content for oxide
75,H-Cs-O,"H,Cs,O",3,4.088,5.1069,7.7729,88.87,88.69,97.25,162.28,2,H,Cs,O,,,0.576,0.3166,0.0994,0.0064,0.0017,GOOD,66.5,True,60.0,100.0,60.0,Severe charge imbalance,High hydrogen content unusual for ferroelectrics; Only one typical ferroelectric element; No d0 transition metal (common in oxide ferroelectrics); Spacegroup 2 not typical for ferroelectrics; Low oxygen content for oxide
76,O-Sc-I,"O,Sc,I",3,4.9607,5.9534,9.2648,91.84,91.21,98.64,273.62,183,O,Sc,I,,,0.5174,0.2381,0.2127,0.0193,0.0125,EXCELLENT,83.0,True,90.0,100.0,80.0,,Possible charge imbalance; Only one typical ferroelectric element; No d0 transition metal (common in oxide ferroelectrics)
77,O-I-Ti-H,"O,I,Ti,H",4,5.613,6.8231,11.0926,92.91,92.34,97.3,424.82,181,O,I,Ti,H,,0.5996,0.2063,0.1609,0.0232,0.01,EXCELLENT,86.0,True,90.0,100.0,90.0,,Possible charge imbalance; Spacegroup 181 not typical for ferroelectrics
79,N-Cs-O,"N,Cs,O",3,4.1678,5.307,8.2305,88.76,88.68,96.15,182.04,1,N,Cs,O,,,0.5919,0.2966,0.1009,0.0085,0.0021,GOOD,73.0,True,70.0,100.0,70.0,Severe charge imbalance,Only one typical ferroelectric element; No d0 transition metal (common in oxide ferroelectrics); Low oxygen content for oxide
80,O-Sc-Ti-H,"O,Sc,Ti,H",4,5.4537,6.6565,10.8386,92.69,92.13,97.85,393.47,178,O,Sc,Ti,H,,0.5777,0.2151,0.1755,0.0216,0.0101,EXCELLENT,89.5,True,100.0,100.0,90.0,,Spacegroup 178 not typical for ferroelectrics
81,O-H-Ga,"O,H,Ga",3,5.2283,6.6649,11.6487,91.87,91.76,100.63,405.91,139,O,H,Ga,,,0.5949,0.2527,0.1388,0.0095,0.0042,GOOD,65.0,True,50.0,95.0,70.0,No cations in composition,Possible charge imbalance; Low estimated density: 0.80 g/cm³; Only one typical ferroelectric element; No d0 transition metal (common in oxide ferroelectrics); Spacegroup 139 not typical for ferroelectrics
82,N-Ba-H,"N,Ba,H",3,4.1254,4.9868,7.3409,89.52,89.26,99.47,151.02,1,N,Ba,H,,,0.5812,0.3097,0.1009,0.0066,0.0015,GOOD,71.75,True,75.0,100.0,60.0,Most ferroelectrics are oxides or halides,Possible charge imbalance; Does not match typical ferroelectric patterns; Only one typical ferroelectric element
83,O-Sc-Ga,"O,Sc,Ga",3,6.8857,6.8728,5.4739,93.78,93.15,112.95,259.05,11,O,Sc,Ga,,,0.5769,0.2652,0.1444,0.0103,0.0033,EXCELLENT,83.5,True,100.0,100.0,70.0,,Only one typical ferroelectric element; No d0 transition metal (common in oxide ferroelectrics); Spacegroup 11 not typical for ferroelectrics
84,O-I-Ti-H,"O,I,Ti,H",4,5.378,6.5216,10.4506,92.54,91.93,97.47,366.53,185,O,I,Ti,H,,0.5612,0.217,0.1875,0.0227,0.0117,EXCELLENT,89.0,True,90.0,100.0,100.0,,Possible charge imbalance
85,H-Ba-O,"H,Ba,O",3,4.08,5.1405,7.948,88.46,88.35,96.52,166.69,5,H,Ba,O,,,0.5503,0.3341,0.1058,0.0074,0.0024,GOOD,72.5,True,60.0,100.0,80.0,Severe charge imbalance,High hydrogen content unusual for ferroelectrics; No d0 transition metal (common in oxide ferroelectrics); Low oxygen content for oxide
86,O-Sc-Ti-H,"O,Sc,Ti,H",4,5.4262,6.6028,10.6607,92.79,92.19,98.11,381.95,178,O,Sc,Ti,H,,0.5734,0.2164,0.1785,0.0215,0.0102,EXCELLENT,89.5,True,100.0,100.0,90.0,,Spacegroup 178 not typical for ferroelectrics
90,N-Ge-O,"N,Ge,O",3,4.3126,5.0503,7.0418,91.94,91.11,102.26,153.37,1,N,Ge,O,,,0.5736,0.3239,0.0966,0.0049,0.001,GOOD,69.5,True,60.0,100.0,70.0,No cations in composition,Only one typical ferroelectric element; No d0 transition metal (common in oxide ferroelectrics); Low oxygen content for oxide
91,O-Sc-I,"O,Sc,I",3,5.2888,6.3643,10.1119,92.36,91.78,98.22,340.37,187,O,Sc,I,,,0.5494,0.2251,0.1972,0.0178,0.0105,EXCELLENT,80.0,True,90.0,100.0,70.0,,Possible charge imbalance; Only one typical ferroelectric element; No d0 transition metal (common in oxide ferroelectrics); Spacegroup 187 not typical for ferroelectrics
92,O-Sc-I,"O,Sc,I",3,4.9653,5.9477,9.2629,91.91,91.29,99.24,273.55,184,O,Sc,I,,,0.5191,0.2381,0.2126,0.0183,0.0119,EXCELLENT,83.0,True,90.0,100.0,80.0,,Possible charge imbalance; Only one typical ferroelectric element; No d0 transition metal (common in oxide ferroelectrics)
93,O-Sc-I,"O,Sc,I",3,5.1343,6.1709,9.727,92.25,91.67,99.26,308.18,185,O,Sc,I,,,0.5328,0.2296,0.2088,0.0177,0.0111,EXCELLENT,83.0,True,90.0,100.0,80.0,,Possible charge imbalance; Only one typical ferroelectric element; No d0 transition metal (common in oxide ferroelectrics)
94,H-Cs-O,"H,Cs,O",3,3.9586,4.8057,7.0335,89.38,88.89,97.94,133.8,3,H,Cs,O,,,0.561,0.3293,0.1022,0.0056,0.0019,GOOD,69.5,True,60.0,100.0,70.0,Severe charge imbalance,High hydrogen content unusual for ferroelectrics; Only one typical ferroelectric element; No d0 transition metal (common in oxide ferroelectrics); Low oxygen content for oxide
95,O-Sc-Ti,"O,Sc,Ti",3,5.3434,6.4404,10.2313,92.6,91.97,97.93,352.1,186,O,Sc,Ti,,,0.5559,0.2197,0.1939,0.0198,0.0108,EXCELLENT,92.5,True,100.0,100.0,100.0,,
98,O-I-Ti-H,"O,I,Ti,H",4,5.5545,6.7403,10.9175,92.78,92.22,97.47,408.74,184,O,I,Ti,H,,0.5855,0.2096,0.1732,0.0215,0.0102,EXCELLENT,89.0,True,90.0,100.0,100.0,,Possible charge imbalance
99,O-Sc-I-H,"O,Sc,I,H",4,5.1062,6.1397,9.5999,92.29,91.61,98.37,300.96,184,O,Sc,I,H,,0.5282,0.2292,0.2093,0.0208,0.0124,EXCELLENT,83.0,True,90.0,100.0,80.0,,Possible charge imbalance; Only one typical ferroelectric element; No d0 transition metal (common in oxide ferroelectrics)
105,H-Cs-O,"H,Cs,O",3,3.9696,4.8233,7.0937,89.09,88.67,97.66,135.82,2,H,Cs,O,,,0.5481,0.3388,0.1049,0.0062,0.002,GOOD,66.5,True,60.0,100.0,60.0,Severe charge imbalance,High hydrogen content unusual for ferroelectrics; Only one typical ferroelectric element; No d0 transition metal (common in oxide ferroelectrics); Spacegroup 2 not typical for ferroelectrics; Low oxygen content for oxide
107,N-Cs-O,"N,Cs,O",3,4.0898,4.9693,7.2495,89.62,89.23,98.02,147.33,1,N,Cs,O,,,0.5892,0.2969,0.1047,0.0075,0.0018,GOOD,73.0,True,70.0,100.0,70.0,Severe charge imbalance,Only one typical ferroelectric element; No d0 transition metal (common in oxide ferroelectrics); Low oxygen content for oxide
108,O-Ba-I,"O,Ba,I",3,4.6165,5.6316,8.8857,90.52,90.08,98.24,231.01,179,O,Ba,I,,,0.4954,0.2665,0.2074,0.0174,0.0132,EXCELLENT,83.0,True,90.0,100.0,80.0,,Possible charge imbalance; No d0 transition metal (common in oxide ferroelectrics); Spacegroup 179 not typical for ferroelectrics
109,O-I-Ti-H,"O,I,Ti,H",4,5.8547,7.1013,11.574,93.33,92.63,96.15,481.2,162,O,I,Ti,H,,0.6447,0.1885,0.1261,0.0309,0.0098,EXCELLENT,86.0,True,90.0,100.0,90.0,,Possible charge imbalance; Spacegroup 162 not typical for ferroelectrics
113,O-Si-H,"O,Si,H",3,7.4584,6.991,5.3496,88.43,91.61,105.88,278.94,13,O,Si,H,,,0.5906,0.2925,0.1089,0.006,0.0019,GOOD,69.5,True,60.0,100.0,70.0,No cations in composition,Only one typical ferroelectric element; No d0 transition metal (common in oxide ferroelectrics); Spacegroup 13 not typical for ferroelectrics
118,O-Sc-I,"O,Sc,I",3,5.0232,6.0189,9.3477,92.2,91.52,98.97,282.62,183,O,Sc,I,,,0.5205,0.2341,0.2129,0.02,0.0125,EXCELLENT,83.0,True,90.0,100.0,80.0,,Possible charge imbalance; Only one typical ferroelectric element; No d0 transition metal (common in oxide ferroelectrics)
123,N-Ba-H,"N,Ba,H",3,4.2186,5.0241,7.4796,88.98,88.94,100.18,158.53,1,N,Ba,H,,,0.5399,0.3475,0.1038,0.0067,0.0021,GOOD,71.75,True,75.0,100.0,60.0,Most ferroelectrics are oxides or halides,Possible charge imbalance; Does not match typical ferroelectric patterns; Only one typical ferroelectric element
129,O-I-Ti-H,"O,I,Ti,H",4,5.4463,6.6025,10.6047,92.64,92.04,97.38,381.34,185,O,I,Ti,H,,0.5713,0.2138,0.1813,0.0225,0.0111,EXCELLENT,89.0,True,90.0,100.0,100.0,,Possible charge imbalance
130,N-Cs-O,"N,Cs,O",3,4.7489,5.1319,6.3049,95.64,93.9,106.95,153.66,1,N,Cs,O,,,0.558,0.3101,0.1198,0.0102,0.0019,GOOD,73.0,True,70.0,100.0,70.0,Severe charge imbalance,Only one typical ferroelectric element; No d0 transition metal (common in oxide ferroelectrics); Low oxygen content for oxide
136,N-Cs-O,"N,Cs,O",3,3.9511,4.7438,6.8234,89.7,89.16,98.61,127.89,1,N,Cs,O,,,0.5845,0.3118,0.0971,0.0052,0.0014,GOOD,73.0,True,70.0,100.0,70.0,Severe charge imbalance,Only one typical ferroelectric element; No d0 transition metal (common in oxide ferroelectrics); Low oxygen content for oxide
137,O-I-Ti-H,"O,I,Ti,H",4,5.566,6.7616,10.9715,92.76,92.21,97.32,412.91,184,O,I,Ti,H,,0.5887,0.2084,0.1699,0.0226,0.0105,EXCELLENT,89.0,True,90.0,100.0,100.0,,Possible charge imbalance
138,N-Ge-O,"N,Ge,O",3,4.7243,5.3151,6.7864,95.36,93.87,105.21,170.41,1,N,Ge,O,,,0.5812,0.2882,0.1184,0.0105,0.0016,GOOD,66.0,True,50.0,100.0,70.0,No cations in composition,Possible charge imbalance; Only one typical ferroelectric element; No d0 transition metal (common in oxide ferroelectrics); Low oxygen content for oxide
140,O-Ba-I-H,"O,Ba,I,H",4,4.7525,5.8126,9.2063,91.04,90.51,97.71,254.32,184,O,Ba,I,H,,0.4962,0.258,0.2097,0.0205,0.0155,EXCELLENT,86.0,True,90.0,100.0,90.0,,Possible charge imbalance; No d0 transition metal (common in oxide ferroelectrics)
146,O-Si-H,"O,Si,H",3,4.8356,4.776,5.904,91.03,90.84,102.23,136.35,31,O,Si,H,,,0.5333,0.3587,0.0994,0.0058,0.0028,GOOD,72.5,True,60.0,100.0,80.0,No cations in composition,Only one typical ferroelectric element; No d0 transition metal (common in oxide ferroelectrics)
149,O-Sc-Ti,"O,Sc,Ti",3,5.4538,6.6026,10.6276,92.61,92.05,97.65,382.7,185,O,Sc,Ti,,,0.5687,0.2153,0.1862,0.0197,0.0102,EXCELLENT,92.5,True,100.0,100.0,100.0,,
156,N-Ba-H,"N,Ba,H",3,4.2088,4.7713,6.433,92.29,91.27,103.54,129.18,1,N,Ba,H,,,0.5627,0.3285,0.1011,0.0062,0.0014,GOOD,71.75,True,75.0,100.0,60.0,Most ferroelectrics are oxides or halides,Possible charge imbalance; Does not match typical ferroelectric patterns; Only one typical ferroelectric element
158,N-Ba-H,"N,Ba,H",3,4.0966,4.962,7.3249,89.47,89.18,99.43,148.9,1,N,Ba,H,,,0.5753,0.3225,0.0954,0.0055,0.0014,GOOD,71.75,True,75.0,100.0,60.0,Most ferroelectrics are oxides or halides,Possible charge imbalance; Does not match typical ferroelectric patterns; Only one typical ferroelectric element
166,N-Ge-O,"N,Ge,O",3,4.4513,5.0023,6.573,93.31,92.11,103.21,146.36,1,N,Ge,O,,,0.5205,0.3471,0.1225,0.0079,0.0019,GOOD,69.5,True,60.0,100.0,70.0,No cations in composition,Only one typical ferroelectric element; No d0 transition metal (common in oxide ferroelectrics); Low oxygen content for oxide
169,O-I-Ti-H,"O,I,Ti,H",4,5.5228,6.6995,10.8304,92.63,92.05,96.97,400.72,185,O,I,Ti,H,,0.5816,0.2103,0.1731,0.0237,0.0114,EXCELLENT,89.0,True,90.0,100.0,100.0,,Possible charge imbalance
170,O-Sc-I,"O,Sc,I",3,5.0195,6.0459,9.5123,91.88,91.28,98.52,288.67,187,O,Sc,I,,,0.5252,0.236,0.2082,0.0185,0.0121,EXCELLENT,80.0,True,90.0,100.0,70.0,,Possible charge imbalance; Only one typical ferroelectric element; No d0 transition metal (common in oxide ferroelectrics); Spacegroup 187 not typical for ferroelectrics
171,N-Ba-H,"N,Ba,H",3,4.2217,4.9462,7.1214,90.16,89.8,101.5,148.7,1,N,Ba,H,,,0.54,0.3479,0.1033,0.0069,0.0019,GOOD,71.75,True,75.0,100.0,60.0,Most ferroelectrics are oxides or halides,Possible charge imbalance; Does not match typical ferroelectric patterns; Only one typical ferroelectric element
175,N-Ge-O,"N,Ge,O",3,4.5976,5.0713,6.3865,95.01,93.43,105.53,148.91,1,N,Ge,O,,,0.5576,0.3122,0.12,0.0085,0.0017,GOOD,66.0,True,50.0,100.0,70.0,No cations in composition,Possible charge imbalance; Only one typical ferroelectric element; No d0 transition metal (common in oxide ferroelectrics); Low oxygen content for oxide
180,O-Sc-I-H,"O,Sc,I,H",4,5.2236,6.2938,9.9168,92.46,91.81,98.21,326.02,184,O,Sc,I,H,,0.5415,0.2236,0.2032,0.0203,0.0114,EXCELLENT,83.0,True,90.0,100.0,80.0,,Possible charge imbalance; Only one typical ferroelectric element; No d0 transition metal (common in oxide ferroelectrics)
182,N-Cs-O,"N,Cs,O",3,4.1427,5.2545,8.0661,88.73,88.59,95.62,175.59,2,N,Cs,O,,,0.584,0.3028,0.1018,0.009,0.0024,GOOD,70.0,True,70.0,100.0,60.0,Severe charge imbalance,Only one typical ferroelectric element; No d0 transition metal (common in oxide ferroelectrics); Spacegroup 2 not typical for ferroelectrics; Low oxygen content for oxide
185,Ga-O-H,"Ga,O,H",3,4.4372,4.9628,6.7475,91.62,90.85,102.31,148.58,1,Ga,O,H,,,0.4881,0.4016,0.1013,0.0066,0.0023,GOOD,69.0,True,50.0,100.0,80.0,No cations in composition,Possible charge imbalance; Only one typical ferroelectric element; No d0 transition metal (common in oxide ferroelectrics)
187,O-I-Ti-H,"O,I,Ti,H",4,5.6523,6.8587,11.2182,92.63,92.14,96.9,434.9,185,O,I,Ti,H,,0.5959,0.2069,0.1657,0.0212,0.0103,EXCELLENT,89.0,True,90.0,100.0,100.0,,Possible charge imbalance
188,O-Sc-Ti,"O,Sc,Ti",3,5.3689,6.461,10.2705,92.62,92.01,98.09,356.27,186,O,Sc,Ti,,,0.5568,0.2202,0.1938,0.0187,0.0104,EXCELLENT,92.5,True,100.0,100.0,100.0,,
190,N-Cs-O,"N,Cs,O",3,4.0407,5.0296,7.5603,89.11,88.84,97.34,153.65,1,N,Cs,O,,,0.5885,0.3027,0.1004,0.0067,0.0017,GOOD,73.0,True,70.0,100.0,70.0,Severe charge imbalance,Only one typical ferroelectric element; No d0 transition metal (common in oxide ferroelectrics); Low oxygen content for oxide
191,O-Sc-I-H,"O,Sc,I,H",4,5.2056,6.2756,9.9054,92.4,91.76,98.22,323.59,185,O,Sc,I,H,,0.5393,0.2253,0.2033,0.0204,0.0118,EXCELLENT,83.0,True,90.0,100.0,80.0,,Possible charge imbalance; Only one typical ferroelectric element; No d0 transition metal (common in oxide ferroelectrics)
193,N-Cs-O,"N,Cs,O",3,4.0075,4.9049,7.1747,89.7,89.24,97.99,141.03,1,N,Cs,O,,,0.5873,0.2985,0.1053,0.0071,0.0019,GOOD,73.0,True,70.0,100.0,70.0,Severe charge imbalance,Only one typical ferroelectric element; No d0 transition metal (common in oxide ferroelectrics); Low oxygen content for oxide
194,O-Ba-I-H,"O,Ba,I,H",4,4.8097,5.8209,9.0856,91.37,90.76,97.95,254.37,182,O,Ba,I,H,,0.501,0.2475,0.2155,0.0212,0.0149,EXCELLENT,83.0,True,90.0,100.0,80.0,,Possible charge imbalance; No d0 transition metal (common in oxide ferroelectrics); Spacegroup 182 not typical for ferroelectrics
199,O-Sc-I,"O,Sc,I",3,4.9774,6.0077,9.4991,91.61,91.1,99.23,284.05,180,O,Sc,I,,,0.5172,0.2396,0.2135,0.018,0.0116,EXCELLENT,80.0,True,90.0,100.0,70.0,,Possible charge imbalance; Only one typical ferroelectric element; No d0 transition metal (common in oxide ferroelectrics); Spacegroup 180 not typical for ferroelectrics
